年龄	升级所需经验	金币加成(百分比)	得分加成(百分比)	体力上限	体力恢复间隔(分钟)	体力恢复数量
id	exp	moneyPlusPer	scorePlusPer	maxStrength	strengthRegenInterval	strengthRegen
0	0	0	0	5	15	1
1	400	0	0.1	5	15	1
2	800	0	0.11	5	15	1
3	1400	0.03	0.12	5	15	1
4	2000	0.04	0.13	5	15	1
5	2800	0.05	0.14	5	15	1
6	3600	0.06	0.15	5	15	1
7	4400	0.07	0.16	5	15	1
8	5400	0.08	0.17	5	15	1
9	6400	0.09	0.18	5	15	1
10	7600	0.1	0.19	5	15	1
11	8700	0.11	0.2	5	15	1
12	9800	0.12	0.21	5	15	1
13	11000	0.13	0.22	5	15	1
14	12300	0.14	0.23	5	15	1
15	13600	0.15	0.24	5	15	1
16	15000	0.16	0.25	5	15	1
17	16400	0.17	0.26	5	15	1
18	17800	0.18	0.27	5	15	1
19	19300	0.19	0.28	5	15	1
20	20800	0.2	0.29	5	15	1
21	22400	0.4	0.5	5	10	1
22	24000	0.41	0.51	5	10	1
23	25600	0.42	0.52	5	10	1
24	27200	0.43	0.53	5	10	1
25	28900	0.44	0.54	5	10	1
26	30500	0.45	0.55	5	10	1
27	32200	0.46	0.56	5	10	1
28	33900	0.47	0.57	5	10	1
29	36300	0.48	0.58	5	10	1
30	38800	0.49	0.59	5	10	1
31	41600	0.5	0.6	5	10	1
32	44700	0.51	0.61	5	10	1
33	48000	0.52	0.62	5	10	1
34	51400	0.53	0.63	5	10	1
35	55000	0.54	0.64	5	10	1
36	58600	0.55	0.65	5	10	1
37	62400	0.56	0.66	5	10	1
38	66200	0.57	0.67	5	10	1
39	70200	0.58	0.68	5	10	1
40	74300	0.59	0.69	5	20	1
41	78500	0.8	0.68	5	20	1
42	82800	0.81	0.67	5	20	1
43	87100	0.82	0.66	5	20	1
44	91700	0.83	0.65	5	20	1
45	96300	0.84	0.64	5	20	1
46	101000	0.85	0.63	5	20	1
47	105800	0.86	0.62	5	20	1
48	110700	0.87	0.61	5	20	1
49	115800	0.88	0.6	5	20	1
50	120900	0.89	0.59	5	20	1
51	126100	0.9	0.58	5	20	1
52	131500	0.91	0.57	5	20	1
53	137000	0.92	0.56	5	20	1
54	142500	0.93	0.55	5	20	1
55	148200	0.94	0.54	5	20	1
56	154000	0.95	0.53	5	20	1
57	159900	0.96	0.52	5	20	1
58	165900	0.97	0.51	5	20	1
59	172000	0.98	0.5	5	20	1
60	494400	0.99	0.49	5	20	1
