年龄	升级所需经验	金币加成(10000)	得分加成(万分比10000)	体力上限	体力恢复间隔(分钟)	体力恢复数量
id	exp	moneyPlusPer	scorePlusPer	maxStrength	strengthRegenInterval	strengthRegen
0	0	0	0	5	15	1
1	400	0	1000	5	15	1
2	800	0	1100	5	15	1
3	1400	300	1200	5	15	1
4	2000	400	1300	5	15	1
5	2800	500	1400	5	15	1
6	3600	600	1500	5	15	1
7	4400	700	1600	5	15	1
8	5400	800	1700	5	15	1
9	6400	900	1800	5	15	1
10	7600	1000	1900	5	15	1
11	8700	1100	2000	5	15	1
12	9800	1200	2100	5	15	1
13	11000	1300	2200	5	15	1
14	12300	1400	2300	5	15	1
15	13600	1500	2400	5	15	1
16	15000	1600	2500	5	15	1
17	16400	1700	2600	5	15	1
18	17800	1800	2700	5	15	1
19	19300	1900	2800	5	15	1
20	20800	2000	2900	5	15	1
21	22400	4000	5000	5	10	1
22	24000	4100	5100	5	10	1
23	25600	4200	5200	5	10	1
24	27200	4300	5300	5	10	1
25	28900	4400	5400	5	10	1
26	30500	4500	5500	5	10	1
27	32200	4600	5600	5	10	1
28	33900	4700	5700	5	10	1
29	36300	4800	5800	5	10	1
30	38800	4900	5900	5	10	1
31	41600	5000	6000	5	10	1
32	44700	5100	6100	5	10	1
33	48000	5200	6200	5	10	1
34	51400	5300	6300	5	10	1
35	55000	5400	6400	5	10	1
36	58600	5500	6500	5	10	1
37	62400	5600	6600	5	10	1
38	66200	5700	6700	5	10	1
39	70200	5800	6800	5	10	1
40	74300	5900	6900	5	20	1
41	78500	8000	6800	5	20	1
42	82800	8100	6700	5	20	1
43	87100	8200	6600	5	20	1
44	91700	8300	6500	5	20	1
45	96300	8400	6400	5	20	1
46	101000	8500	6300	5	20	1
47	105800	8600	6200	5	20	1
48	110700	8700	6100	5	20	1
49	115800	8800	6000	5	20	1
50	120900	8900	5900	5	20	1
51	126100	9000	5800	5	20	1
52	131500	9100	5700	5	20	1
53	137000	9200	5600	5	20	1
54	142500	9300	5500	5	20	1
55	148200	9400	5400	5	20	1
56	154000	9500	5300	5	20	1
57	159900	9600	5200	5	20	1
58	165900	9700	5100	5	20	1
59	172000	9800	5000	5	20	1
60	494400	9900	4900	5	20	1
