Id(int)	宠物(int)	阶数(int)	需要钻石数(int)	需要金币数(int)	需要碎片数(int)	需要骨头数(int)	需要的货币类型(int)（0=金币 1=钻石）
id	petId	level	needDiamond	needCoin	needFragment	needBone	needMoneyType
1001	1	1	0	0	0	0	0
1002	1	2	0	1000	0	1	0
1003	1	3	0	1100	0	1	0
1004	1	4	0	1200	0	1	0
1005	1	5	0	1300	0	1	0
1006	1	6	0	1400	0	1	0
1007	1	7	0	1500	0	2	0
1008	1	8	0	1600	0	2	0
1009	1	9	0	1700	0	2	0
1010	1	10	0	1800	0	2	0
1011	1	11	0	1900	0	2	0
1012	1	12	0	2000	0	3	0
1013	1	13	0	2100	0	3	0
1014	1	14	0	2200	0	3	0
1015	1	15	0	2300	0	3	0
1016	1	16	0	2400	0	3	0
1017	1	17	0	2500	0	4	0
1018	1	18	0	2600	0	4	0
1019	1	19	0	2700	0	4	0
1020	1	20	0	2800	0	4	0
1021	1	21	0	2900	0	4	0
1022	1	22	0	3000	0	5	0
1023	1	23	0	3100	0	5	0
1024	1	24	0	3200	0	5	0
1025	1	25	0	3300	0	5	0
1026	1	26	0	3400	0	5	0
1027	1	27	0	3500	0	6	0
1028	1	28	0	3600	0	6	0
1029	1	29	0	3700	0	6	0
1030	1	30	0	3800	0	6	0
1031	1	31	0	3900	0	6	0
1032	1	32	0	4000	0	7	0
1033	1	33	0	4100	0	7	0
1034	1	34	0	4200	0	7	0
1035	1	35	0	4300	0	7	0
1036	1	36	0	4400	0	7	0
1037	1	37	0	4500	0	8	0
1038	1	38	0	4600	0	8	0
1039	1	39	0	4700	0	8	0
1040	1	40	0	4800	0	8	0
1041	1	41	0	4900	0	8	0
1042	1	42	0	5000	0	9	0
1043	1	43	0	5100	0	9	0
1044	1	44	0	5200	0	9	0
1045	1	45	0	5300	0	9	0
1046	1	46	0	5400	0	9	0
1047	1	47	0	5500	0	10	0
1048	1	48	0	5600	0	10	0
1049	1	49	0	5700	0	10	0
1050	1	50	0	5800	0	10	0
2001	2	1	0	0	0	0	0
2002	2	2	0	1000	0	1	0
2003	2	3	0	1100	0	1	0
2004	2	4	0	1200	0	1	0
2005	2	5	0	1300	0	1	0
2006	2	6	0	1400	0	1	0
2007	2	7	0	1500	0	2	0
2008	2	8	0	1600	0	2	0
2009	2	9	0	1700	0	2	0
2010	2	10	0	1800	0	2	0
2011	2	11	0	1900	0	2	0
2012	2	12	0	2000	0	3	0
2013	2	13	0	2100	0	3	0
2014	2	14	0	2200	0	3	0
2015	2	15	0	2300	0	3	0
2016	2	16	0	2400	0	3	0
2017	2	17	0	2500	0	4	0
2018	2	18	0	2600	0	4	0
2019	2	19	0	2700	0	4	0
2020	2	20	0	2800	0	4	0
2021	2	21	0	2900	0	4	0
2022	2	22	0	3000	0	5	0
2023	2	23	0	3100	0	5	0
2024	2	24	0	3200	0	5	0
2025	2	25	0	3300	0	5	0
2026	2	26	0	3400	0	5	0
2027	2	27	0	3500	0	6	0
2028	2	28	0	3600	0	6	0
2029	2	29	0	3700	0	6	0
2030	2	30	0	3800	0	6	0
2031	2	31	0	3900	0	6	0
2032	2	32	0	4000	0	7	0
2033	2	33	0	4100	0	7	0
2034	2	34	0	4200	0	7	0
2035	2	35	0	4300	0	7	0
2036	2	36	0	4400	0	7	0
2037	2	37	0	4500	0	8	0
2038	2	38	0	4600	0	8	0
2039	2	39	0	4700	0	8	0
2040	2	40	0	4800	0	8	0
2041	2	41	0	4900	0	8	0
2042	2	42	0	5000	0	9	0
2043	2	43	0	5100	0	9	0
2044	2	44	0	5200	0	9	0
2045	2	45	0	5300	0	9	0
2046	2	46	0	5400	0	9	0
2047	2	47	0	5500	0	10	0
2048	2	48	0	5600	0	10	0
2049	2	49	0	5700	0	10	0
2050	2	50	0	5800	0	10	0
2051	2	51	0	5900	0	10	0
2052	2	52	0	6000	0	11	0
2053	2	53	0	6100	0	11	0
2054	2	54	0	6200	0	11	0
2055	2	55	0	6300	0	11	0
2056	2	56	0	6400	0	11	0
2057	2	57	0	6500	0	12	0
2058	2	58	0	6600	0	12	0
2059	2	59	0	6700	0	12	0
2060	2	60	0	6800	0	12	0
2061	2	61	20	0	0	12	1
2062	2	62	20	0	0	13	1
2063	2	63	20	0	0	13	1
2064	2	64	20	0	0	13	1
2065	2	65	20	0	0	13	1
2066	2	66	20	0	0	13	1
2067	2	67	20	0	0	14	1
2068	2	68	20	0	0	14	1
2069	2	69	20	0	0	14	1
2070	2	70	20	0	0	14	1
2071	2	71	20	0	0	14	1
2072	2	72	20	0	0	15	1
2073	2	73	20	0	0	15	1
2074	2	74	20	0	0	15	1
2075	2	75	20	0	0	15	1
2076	2	76	20	0	0	15	1
2077	2	77	20	0	0	16	1
2078	2	78	20	0	0	16	1
2079	2	79	20	0	0	16	1
2080	2	80	20	0	0	16	1
3001	3	1	0	0	0	0	0
3002	3	2	0	1000	0	1	0
3003	3	3	0	1100	0	1	0
3004	3	4	0	1200	0	1	0
3005	3	5	0	1300	0	1	0
3006	3	6	0	1400	0	1	0
3007	3	7	0	1500	0	2	0
3008	3	8	0	1600	0	2	0
3009	3	9	0	1700	0	2	0
3010	3	10	0	1800	0	2	0
3011	3	11	0	1900	0	2	0
3012	3	12	0	2000	0	3	0
