id	成就名	类型：1：跑酷；2：挑战；3：排行；4：金币；5：boss		
id	name	type	count	award
1	完成1跑酷	1	1	500
2	完成50次跑酷	1	50	500
3	完成100次跑酷	1	100	500
4	完成300次跑酷	1	300	500
5	完成500次跑酷	1	500	500
6	完成1000次跑酷	1	1000	500
7	完成5000次跑酷	1	5000	500
8	完成1次挑战	2	1	500
9	完成50次挑战	2	50	500
10	完成100次挑战	2	100	500
11	完成300次挑战	2	300	500
12	完成500次挑战	2	500	500
13	完成1000次挑战	2	1000	500
14	完成5000次挑战	2	5000	500
15	还有内取得第一名（没有好友不触发此成就，仅一次）	3	1	500
16	收集100金币	4	100	500
17	收集1000金币	4	1000	500
18	收集5000金币	4	5000	500
19	收集20000金币	4	20000	500
20	收集50000金币	4	50000	500
21	收集100000金币	4	100000	500
22	收集500000金币	4	500000	500
23	收集1000000金币	4	1000000	500
24	收集5000000金币	4	5000000	500
25	完成1次BOSS	5	1	500
26	完成50次BOSS	5	50	500
27	完成100次BOSS	5	100	500
28	完成300次BOSS	5	300	500
29	完成500次BOSS	5	500	500
30	完成1000次BOSS	5	1000	500
31	完成5000次BOSS	5	5000	500
